KA 03 C 3211,T T ,1,OA
KA 03 C 3216,T T ,2,OA
KA 03 D 7836,MAZDA,3,DELOITEE
KA 03 AB 8640,BUS,4,SANDISK
KA 03 D 6906,MAZDA,5,H C L 
KA 03 D 6404,MAZDA,6,H C L 
KA 03 D 7828,MAZDA,7,EXL
KA 03 D 6403,MP,8,H C L 
KA 03 AA 6538,TT,9,INTEL SRR
KA 01 AB 4042,BUS,12,SPARE
KA 51 C 492,MAZDA,13,DELOITEE
KA 03 C 6549,MAZDA,14,SOUTH FIELD 
KA 03 AA 7960,T T ,15,INTEL EMB
KA 03 D 7829,MAZDA,16,L & T
KA 03 D 7834,MAZDA,17,L & T
KA 53 B 0614,MP,18,CONTINENTAL
KA 03 AA 7659,TT,19,LIFE STYLE 
KA 03  AB 485,TT,20,LIFE STYLE 
KA 03 AA 7652,TT,22,DELOITEE
KA 03 AA 7650,TT,23,E F I 
KA 01 C 2321,INNOVA,24,SCHNEIDER EC 
KA 03 AA 7645,TT,25,INTEL BGA
KA 03 AA 7966,TT,26,OA
KA 53 B 3010,ENJOY,27,SCHNEIDER EC 
KA 03 AB 8645,TT,28,SCHNEIDER HOSKOTE
KA 53 B 3009,ENJOY,29,SCHNEIDER EC 
KA 03 AB 9479,TT,46,SCHNEIDER HOSKOTE
KA 03 AB 5613,TT,48,SCHNEIDER HOSKOTE
KA 03 AB 5612,TT,49,SCHNEIDER HOSKOTE
KA 03 AB 5614,TT,50,SCHNEIDER HOSKOTE
KA 03 AB 9509,TT,51,SCHNEIDER HOSKOTE
KA 03 AB 9511,TT,52,SCHNEIDER HOSKOTE
KA 03 AB 5611,TT,53,SCHNEIDER HOSKOTE
KA 03 D 8051,JCBL,54,H C L 
KA 03 AB 5615,TT,54,SCHNEIDER HOSKOTE
KA 03 AA 7965,TT,55,INTEL EMB
KA 03 AB 9515,TT,55,SCHNEIDER HOSKOTE
KA 03 D 6909,MAZDA,56,H C L 
KA 03 AB 9492,TT,56,SCHNEIDER HOSKOTE
KA 51 C 589,MAZDA,57,DELOITEE
KA 03 AB 8636,TT,57,SCHNEIDER HOSKOTE
KA 03 D 6398,MP,58,WIPRO EC
KA 03 AB 9496,TT,58,SCHNEIDER HOSKOTE
KA 51 B 0064,MP,59,H C L 
KA 03 AB 9512,TT,59,SCHNEIDER HOSKOTE
KA 03 D 6907,MAZDA,60,LIFE STYLE 
KA 03 D 6908,MAZDA,61,H C L 
KA 03 AB 8643,TT,61,CONTINENTAL
KA 51 C 489,MAZDA,62,DELOITEE
KA 03 AB 9508,TT,62,SCHNEIDER HOSKOTE
KA 51 C 586,MAZDA,63,DELOITEE
KA 03 AB 9494,TT,63,SCHNEIDER HOSKOTE
KA 03 AB 8644,TT,64,SCHNEIDER HOSKOTE
KA 03 D 6910,MAZDA,65,H C L 
KA 03 D 6405,MAZDA,66,H C L 
KA 03 AB 9510,TT,66,SCHNEIDER HOSKOTE
KA 51 6512,BUS,67,WIPRO EC
KA 51 7024,BUS,68,SPARE
KA 03 AB 9516,TT,68,SCHNEIDER HOSKOTE
KA 51 B 3808,BUS,69,H C L 
KA 03 AB 8646,TT,70,E F I 
KA 03 AB 9493,TT,70,SCHNEIDER HOSKOTE
KA 51 C 491,MAZDA,71,DELOITEE
KA 03 AB 9513,TT,71,SCHNEIDER HOSKOTE
KA 51 A 8643,TT,72,SCHNEIDER HOSKOTE
KA 03 D 8050,MP,73,WIPRO EC
KA 03 D 7832,MAZDA,74,WIPRO SARJAPUR
KA 03 D 7833,MAZDA,75,WIPRO SARJAPUR
KA 03 AA 6539,TT,77,INTEL SRR
KA 03  AB 487,TT,78,SCHNEIDER EC 
KA 03 AA 7640,TT,79,INTEL SRR
KA 03 AA 7647,TT,80,INTEL BGA
KA 03 AA 7653,TT,81,INTEL BGA
KA 03 AA 7651,TT,86,INTEL BGA
KA 51 7025,BUS,87,WIPRO EC
KA 03 AA 6537,TT,88,SCHNEIDER HOSKOTE
KA 51 A 1771,MP,89,WIPRO EC
KA 03 AB 9517,TT,89,SCHNEIDER HOSKOTE
KA 03  AB 489,TT,90,SCHNEIDER EC
KA 03 AB 5616,TT,90,SCHNEIDER HOSKOTE
KA 03 AA 3880,TT,91,SCHNEIDER EC
KA 03 AA 7648,TT,92,INTEL BGA
KA 51 A 9043,BUS,93,DELOITEE
KA 03 AA 7639,TT,94,INTEL BGA
KA 03 AA 7643,TT,95,INTEL BGA
KA 51 6511,BUS,96,SPARE
KA 51 A 8642,BUS,97,SCHNEIDER HOSKOTE
KA 03 AB 8642,TT,97,CONTINENTAL
KA 51 7178,MP,98,WIPRO EC
KA 03 D 6401,MP,99,WIPRO EC
KA 51 6510,BUS,100,WIPRO EC
KA 51 C 591,MAZDA,101,DELOITEE
KA 03 D 6905,MAZDA,102,H C L 
KA 51 C 490,MAZDA,103,DELOITEE
KA 01 AB 4043,BUS,104,E F I 
KA 51 8459,BUS,105,WIPRO EC
KA 51 A 2650,MP,106,YOKOGAWA
KA 51 8460,BUS,107,WIPRO EC
KA 03 D 8052,MP,108,WIPRO SARJAPUR
KA 03 AA 7967,TT,109,INTEL EMB
KA 03 AA 7637,TT,110,INTEL BGA
KA 03 AA 7641,TT,111,INTEL BGA
KA 03 AA 7657,TT,112,INTEL SRR
KA 03 AA 3879,TT,113,SCHNEIDER EC
KA 03 D 7831,MAZDA,114,WIPRO SARJAPUR
KA 03 AA 7644,TT,115,INTEL EMB
KA 03 D 7830,MAZDA,130,WIPRO SARJAPUR
KA 51 C 3123,EICHER,132,TYCO
KA 03 AA 7964,TT,133,INTEL EMB
KA 03 AA 7660,TT,134,INTEL EMB
KA 03 D 4913,TT,135,MAKINO
KA 03 AA 3877,TT,136,CONTINENTAL
KA 03 AA 7961,TT,137,INTEL EMB
KA 03 AA 7649,TT,138,INTEL EMB
KA 03 AA 7662,TT,139,EFI
KA 03 AA 7642,TT,140,SANDISK
KA 51 C 3108,EICHER,142,TYCO
KA 03 AB 5610,TT,143,SANDISK
KA 51 A 1772,MP,144,WIPRO SARJAPUR
KA 03 AA 7658,TT,145,INTEL SRR
KA 51 C 3112,EICHER,146,TYCO
KA 51 6513,BUS,147,WIPRO EC
KA 03 C 4572,INNOVA,200,E F I 
KA 03 D 4912,TT,201,MAKINO
KA 51 A 8641,BUS,204,WIPRO EC
KA 03 AB 8641,TT,204,CONTINENTAL
KA 03 AA 7638,TT,205,INTEL BGA
KA 03 AA 7962,TT,206,INTEL EMB
KA 03 AA 7963,TT,207,INTEL EMB
KA 03 AA 7959,TT,208,INTEL EMB
KA 03 AA 6536,TT,209,SANDISK
KA 03 AB 8635,TT,210,SANDISK
KA 03 D 6904,MAZDA,211,SHOBHA DEVELOPERS
KA 51 B 0065,MP,223,YOKOGAWA
KA 03 D 5808,SUMO,224,OA
KA 03 AA 1105,WINGER,250,OA
KA 03 AA 6540,TT,251,INTEL SRR
KA 51 B 0066,MP,301,DELOITEE
KA 03 D 6902,MAZDA,302,EXL
KA 03 C 6775,MAZDA,,PRESTIGE GROUP
KA 03 D 7835,MAZDA,,WIPRO SARJAPUR
KA 51 C 3127,EICHER,,TYCO
KA 03 D 6402,MP,,WIPRO EC
KA 03 D 4911,TT,,MAKINO
KA 03 AA 3878,TT,,LIFE STYLE 
KA 03 AA 7646,TT,,INTEL EMB
KA 03 AA 7654,TT,,INTEL EMB
KA 03 AA 7655,TT,,CONTINENTAL
KA 03 AA 7661,TT,,CONTINENTAL
KA 03 AA 7958,TT,,E F I 
KA 03 AB 9514,TT,,E F I 
